Group Class code;Class code;January;February;March;April;May;June;July;August;September;October;November;December
100;1000;12,692,159;12,386,988;19,377,831;19,504,975;18,151,063;14,940,721;15,077,546;12,767,631;10,187,114;12,296,021;12,152,467;15,289,387
100;1000;1,541,231;1,753,332;2,136,222;2,371,813;2,260,599;1,792,576;1,616,024;1,688,953;1,348,088;1,736,317;1,766,465;2,350,574
100;1000;5,330,113;5,939,099;8,129,267;8,672,951;8,227,024;6,782,931;6,027,264;6,264,869;5,506,298;6,324,161;6,742,557;8,373,668
100;1001;4,942,081;4,750,215;4,415,566;5,095,376;4,892,668;4,869,719;4,690,827;4,505,539;4,278,619;4,245,762;3,957,905;4,826,542
100;1001;1,485,823;1,251,710;1,117,103;1,215,963;1,213,858;1,459,343;1,531,201;1,245,109;1,108,469;1,191,404;973,336;1,225,390
100;1001;1,593,506;1,423,263;1,301,716;1,599,811;1,454,706;1,800,052;2,105,456;1,217,196;1,014,963;1,007,900;1,000,077;1,266,938
100;1001;1,745,787;1,757,108;1,465,848;1,393,581;1,387,203;1,537,269;1,428,645;1,548,474;1,408,457;1,671,866;1,498,928;1,483,169
100;1001;1,627,797;1,643,538;1,552,937;2,137,742;1,727,323;1,584,577;1,331,343;1,326,978;2,013,644;1,652,157;1,234,088;1,519,500
100;1001;2,537,120;2,759,349;3,006,852;3,235,349;3,639,383;3,285,112;3,363,483;2,992,988;3,331,426;3,580,668;2,873,706;3,230,246
100;1002;1,532,622;1,735,967;2,149,504;2,525,040;3,323,911;3,037,173;2,445,848;2,636,622;2,424,974;3,046,537;1,866,500;2,492,092
100;1002;1,656,889;1,740,368;1,927,339;2,260,587;1,966,372;1,450,009;1,551,467;1,584,093;1,589,460;1,588,809;1,442,083;1,633,695
100;1002;191,779;142,171;141,833;232,713;233,183;184,12;165,913;122,462;125,68;134,509;136,241;164,856
100;1002;593,524;511,495;601,92;627,656;645,661;548,747;656,296;602,589;572,938;562,014;522,385;675,777
100;1002;921,813;883,662;1,009,058;1,444,701;1,616,723;1,000,851;999,644;994,037;803,621;862,54;699,222;805,602
100;1002;2,314;;402;14,065;6,631;4,622;5,626;4,019;7,234;9,518;16,667;63,454
100;1002;4,512;4,433;5,171;6,599;5,398;6,182;6,597;3,836;3,807;5,602;8,563;3,88
100;1003;15,164,196;10,811,454;11,620,541;12,791,295;12,233,978;11,851,101;15,377,056;13,610,567;11,224,739;23,775,219;22,465,762;34,454,890
100;1003;15,091,417;8,730,512;8,208,307;11,170,441;8,046,731;6,827,099;12,555,983;17,480,572;6,957,502;9,272,268;9,944,535;29,537,797
100;1003;7,574,565;5,623,481;4,665,099;5,846,497;6,532,079;6,230,416;6,536,626;6,561,046;6,159,592;7,661,913;6,282,192;14,000,029
100;1003;13,309,195;2,650,663;1,997,929;3,117,111;2,157,493;2,136,140;2,737,705;6,268,866;2,447,904;2,363,532;7,408,703;56,955,731
100;1004;709,617;713,224;745,334;891,618;939,752;800,061;759,407;732,182;658,993;622,266;646,261;815,594
100;1004;7,756,027;11,495,433;6,926,403;8,322,046;8,906,336;5,702,953;8,366,519;10,366,031;7,133,661;9,538,381;8,363,753;9,612,376
100;1005;11,378,252;10,964,571;12,235,708;12,983,443;13,385,005;11,875,454;11,885,802;11,281,422;10,797,122;11,855,941;11,288,740;10,917,771
100;1005;2,791,730;2,679,065;2,942,726;2,860,100;3,271,901;2,625,165;2,732,041;2,566,607;2,631,647;2,864,103;2,555,432;2,756,730
100;1005;2,496,290;2,233,824;2,645,307;3,252,551;3,112,832;2,098,150;2,392,125;2,438,459;2,011,130;2,314,980;2,726,432;4,423,842
100;1006;3,324,612;6,805,173;14,346,121;9,891,298;9,827,714;7,694,804;13,517,935;18,198,640;13,940,507;19,470,104;9,698,091;12,461,857
100;1006;5,458,234;5,644,773;8,008,187;9,785,426;10,967,114;7,952,720;8,620,686;6,921,416;5,998,096;7,821,395;5,798,091;6,124,390
100;1006;682,371;729,691;920,337;1,101,408;1,395,063;1,272,493;1,235,339;994,062;1,112,548;644,917;642,97;728,897
100;1006;3,310,750;4,115,142;5,146,805;5,224,251;4,705,361;3,885,314;4,299,000;4,495,804;4,536,901;4,556,871;4,642,132;4,587,228
100;1006;1,261,935;1,365,182;1,449,787;1,632,708;1,828,437;1,601,372;1,647,559;1,806,750;1,248,122;1,401,619;1,155,602;1,237,387
101;1010;33,648,636;45,428,417;42,018,971;42,551,891;36,312,315;33,702,107;35,464,200;31,791,436;29,766,863;33,080,428;34,746,059;39,643,000
101;1010;6,199,905;6,777,412;6,118,186;5,378,057;4,875,755;5,839,354;6,204,186;4,327,826;4,153,400;4,705,695;5,058,870;7,329,262
101;1011;337,561;307,906;301,786;262,675;211,553;195,538;176,366;167,349;156,848;204,758;200,978;289,166
101;1012;2,903,510;2,130,420;2,140,184;2,382,617;1,871,310;1,715,997;1,708,516;1,557,778;1,510,126;1,660,316;2,020,522;4,103,848
102;1020;386,684;315,925;293,66;248,316;232,11;176,451;193,824;205,656;185,873;211,322;421,589;481,282
