"","V1"
"1",1
"2",1
"3",2
"4",2
"5",3
"6",1
"7",3
"8",3
"9",1
"10",1
"11",3
"12",1
"13",2
"14",1
"15",1
"16",2
"17",1
"18",1
"19",1
"20",1
"21",2
"22",2
"23",3
"24",1
"25",1
"26",1
"27",2
"28",1
"29",2
"30",3
"31",2
"32",2
"33",1
"34",1
"35",1
"36",1
"37",2
"38",1
"39",1
"40",1
"41",2
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",3
"54",2
"55",1
"56",2
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",2
"68",1
"69",1
"70",1
"71",2
"72",2
"73",1
"74",3
"75",2
"76",1
"77",1
"78",3
"79",2
"80",1
"81",3
"82",2
"83",1
"84",1
"85",1
"86",2
"87",1
"88",1
"89",1
"90",2
"91",2
"92",2
"93",1
"94",1
"95",3
"96",2
"97",1
"98",1
"99",2
"100",3
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",2
"108",1
"109",3
"110",1
"111",2
"112",2
"113",1
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",1
"121",1
"122",1
"123",1
"124",1
"125",2
"126",3
"127",1
"128",1
"129",3
"130",3
"131",2
"132",1
"133",2
"134",1
"135",3
"136",2
"137",1
"138",3
"139",1
"140",2
"141",1
"142",1
"143",2
"144",2
"145",3
"146",2
"147",2
"148",3
"149",3
"150",2
"151",3
"152",3
"153",1
"154",1
"155",2
"156",2
"157",1
"158",2
"159",1
"160",1
"161",1
"162",3
"163",2
"164",2
"165",2
"166",2
"167",3
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",2
"178",2
"179",3
"180",2
"181",1
"182",2
"183",1
"184",1
"185",2
"186",2
"187",1
"188",1
"189",1
"190",3
"191",1
"192",3
"193",1
"194",2
"195",1
"196",1
"197",3
"198",3
"199",2
"200",2
"201",2
"202",1
"203",2
"204",2
"205",1
"206",1
"207",1
"208",3
"209",1
"210",1
"211",1
"212",2
"213",3
"214",1
"215",3
"216",2
"217",3
"218",1
"219",1
"220",1
"221",1
"222",1
"223",2
"224",1
"225",3
"226",1
"227",1
"228",3
"229",2
"230",3
"231",1
"232",2
"233",1
"234",3
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",1
"246",3
"247",2
"248",1
"249",3
"250",3
"251",1
"252",1
"253",1
"254",1
"255",1
"256",2
"257",1
"258",1
"259",1
"260",1
"261",2
"262",1
"263",3
"264",1
"265",1
"266",2
"267",2
"268",1
"269",1
"270",2
"271",2
"272",1
"273",3
"274",1
"275",1
"276",3
"277",1
"278",1
"279",1
"280",2
"281",1
"282",1
"283",3
"284",1
"285",2
"286",1
"287",2
"288",3
"289",3
"290",1
"291",1
"292",2
"293",1
"294",1
"295",2
"296",1
"297",1
"298",1
"299",2
"300",2
"301",2
"302",2
"303",2
"304",3
"305",1
"306",3
"307",1
"308",1
"309",1
"310",1
"311",2
"312",1
"313",1
"314",2
"315",3
"316",2
"317",1
"318",3
"319",1
"320",1
"321",2
"322",2
"323",2
"324",2
"325",2
"326",2
"327",2
"328",1
"329",2
"330",3
"331",3
"332",1
"333",1
"334",1
"335",1
"336",2
"337",1
"338",1
"339",1
"340",1
"341",2
"342",1
"343",1
"344",1
"345",2
"346",3
"347",2
"348",2
"349",2
"350",3
"351",1
"352",2
"353",2
"354",1
"355",2
"356",1
"357",2
"358",1
"359",1
"360",1
"361",2
"362",1
"363",1
"364",1
"365",1
"366",2
"367",2
"368",1
"369",2
"370",2
"371",2
"372",2
"373",3
"374",2
"375",3
"376",1
"377",1
"378",2
"379",2
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",2
"387",2
"388",1
"389",1
"390",2
"391",1
"392",2
"393",2
"394",1
"395",1
"396",2
"397",1
"398",2
"399",1
"400",3
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",2
"411",2
"412",1
"413",1
"414",2
"415",1
"416",2
"417",2
"418",1
"419",2
"420",1
"421",2
"422",2
"423",1
"424",1
"425",1
"426",1
"427",1
"428",2
"429",1
"430",1
"431",2
"432",2
"433",1
"434",1
"435",1
"436",1
"437",2
"438",1
"439",1
"440",2
"441",1
"442",2
"443",1
"444",2
"445",2
"446",1
"447",3
"448",3
"449",1
"450",1
"451",1
"452",1
"453",3
"454",1
"455",2
"456",3
"457",1
"458",1
"459",1
"460",3
"461",2
"462",1
"463",1
"464",1
"465",2
"466",1
"467",1
"468",1
"469",2
"470",1
"471",2
"472",1
"473",1
"474",1
"475",1
"476",2
"477",1
"478",2
"479",2
"480",1
"481",3
